###############################################################
#  Generated by:      Cadence Innovus 21.19-s058_1
#  OS:                Linux x86_64(Host ID il2225ht25_jcdavid)
#  Generated on:      Wed Dec 17 12:59:44 2025
#  Design:            drra_wrapper
#  Command:           report_timing     > ${RPT_DIR}/${TOP_NAME}_timing_${con}.txt
###############################################################
Path 1: VIOLATED (-275.289 ps) Setup Check with Pin Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/CLK->D
               View: AVF_RCWORST
              Group: clk
         Startpoint: (R) Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/CLK
              Clock: (R) clk
           Endpoint: (R) Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/D
              Clock: (R) clk

                         Capture        Launch
         Clock Edge:+  16000.000         0.000
        Src Latency:+   -462.055      -462.055
        Net Latency:+    444.400 (P)   566.300 (P)
            Arrival:=  15982.346       104.245

              Setup:-     21.000
        Uncertainty:-    160.000
      Required Time:=  15801.345
       Launch Clock:=    104.245
          Data Path:+  15972.389
              Slack:=   -275.289

#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Timing Point                                                                                                Flags  Arc     Edge  Cell                     Fanout    Trans     Delay     Arrival  
#                                                                                                                                                                      (ps)      (ps)        (ps)  
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U177/Z                                   C1C2  C2->Z   F     SC8T_AOI222X1_CSC28L          2   28.700    72.700    7608.746  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U144/Z                                   C1C2  A->Z    R     SC8T_INVX1_CSC28L             3  114.500    63.300    7672.045  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U95/Z                                    C1C2  A->Z    F     SC8T_ND2X1_MR_CSC28L          2   43.000    44.400    7716.445  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U92/Z                                    C1C2  A->Z    R     SC8T_NR2X1_CSC28L             4   28.600    72.100    7788.545  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U94/Z                                    C1C2  A->Z    F     SC8T_ND2X1_MR_CSC28L          2   75.100    68.500    7857.045  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U37/Z                                    C1C2  B->Z    F     SC8T_AN2X1_CSC28L             3   52.100    63.800    7920.845  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U6/Z                                     C1C2  A->Z    R     SC8T_ND2X1_MR_CSC28L          4   29.800    44.300    7965.146  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U7/Z                                     C1C2  A->Z    F     SC8T_NR2X1_CSC28L             2   39.000    38.900    8004.045  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U36/Z                                    C1C2  A->Z    F     SC8T_AN4X1_CSC28L             2   21.800    42.600    8046.646  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_squash/U180/Z                                   C1C2  B1->Z   R     SC8T_OAI22X1_CSC28L           1   19.600    41.300    8087.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U177/Z                                            C1C2  B1->Z   R     SC8T_AO22IA1A2X1_CSC28L       4   70.200   106.600    8194.546  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/FE_DBTC452_m_in1_3/Z   C1C2  A->Z    F     SC8T_INVX1_CSC28L             5  158.400   120.200    8314.746  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/U59/Z                  C1C2  B->Z    R     SC8T_NR2X1_CSC28L             5   73.500    90.101    8404.847  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U88/Z         C1C2  A->Z    F     SC8T_ND2X0P5_CSC28L           1  104.400   103.399    8508.246  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U14/S         C1C2  A->S    R     SC8T_FAX1_A_MR_CSC28L         1   82.700   146.800    8655.046  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U13/S         C1C2  CI->S   F     SC8T_FAX1_A_MR_CSC28L         1   28.300   107.600    8762.646  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U5/CO         C1C2  A->CO   F     SC8T_FAX1_A_MR_CSC28L         1   27.400    86.800    8849.445  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U4/CO         C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   24.900    79.000    8928.445  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U3/CO         C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   23.900    79.300    9007.745  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/mult_223/U2/S          C1C2  CI->S   R     SC8T_FAX1_A_MR_CSC28L         1   24.700   104.200    9111.945  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/U58/Z                  C1C2  A->Z    R     SC8T_AN2X1_CSC28L             2   15.700    55.000    9166.945  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/U18/Z                  C1C2  A->Z    F     SC8T_XOR2X1_MR_CSC28L         1   27.100    93.400    9260.346  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_8/CO        C1C2  A->CO   F     SC8T_FAX1_A_MR_CSC28L         1   31.000    90.300    9350.646  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_9/CO        C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   26.700    79.600    9430.245  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_10/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   23.800    80.000    9510.245  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_11/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   25.400    80.399    9590.645  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_12/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   24.900    84.899    9675.544  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_13/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   29.400    82.100    9757.644  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_14/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   24.800    78.900    9836.544  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_15/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   23.900    82.600    9919.144  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_16/CO       C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   27.700    73.600    9992.743  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/add_298/U1_17/Z        C1C2  C->Z    R     SC8T_XOR3X1_MR_CSC28L         1   18.400   137.200   10129.943  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U_mul_l/U15/Z                  C1C2  A->Z    R     SC8T_AO21X2_CSC28L            1   12.700    36.899   10166.843  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U82/Z                          C1C2  A->Z    R     SC8T_AN2X1_CSC28L             1   25.700    66.100   10232.942  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_286/U1_1/S                 C1C2  B->S    F     SC8T_FAX1_A_MR_CSC28L         1   34.400   117.500   10350.442  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_17/CO               C1C2  A->CO   F     SC8T_FAX1_A_MR_CSC28L         1   28.600    89.000   10439.442  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_18/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   26.600    81.000   10520.442  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_19/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   25.000    82.699   10603.142  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_20/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   27.300    84.199   10687.341  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_21/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   27.700    80.100   10767.440  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_22/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   23.800    82.899   10850.340  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_23/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   28.000    80.300   10930.640  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_24/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   23.800    83.899   11014.539  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_25/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   29.000    80.700   11095.239  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_26/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   24.500    78.800   11174.039  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_27/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   24.600    80.699   11254.738  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_28/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   26.200    81.699   11336.437  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_29/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   26.500    80.199   11416.637  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_30/CO               C1C2  CI->CO  F     SC8T_FAX1_A_MR_CSC28L         1   25.000    71.800   11488.437  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/add_298/U1_31/Z                C1C2  C->Z    R     SC8T_XOR3X1_MR_CSC28L         1   18.900   137.700   11626.137  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_multiplier/U38/Z                          C1C2  A->Z    R     SC8T_AO21X2_CSC28L            3   12.800    42.399   11668.536  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U25/Z                                             C1C2  B2->Z   F     SC8T_AOI21X1_CSC28L          12   31.400   158.500   11827.036  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U712/Z                                            C1C2  A->Z    R     SC8T_AO21IAX1_MR_CSC28L       1  243.800   116.199   11943.235  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_2/U1_4/CO                     C1C2  A->CO   R     SC8T_FAX1_A_MR_CSC28L         1   83.500   113.699   12056.935  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_2/U1_5/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   28.500    77.699   12134.634  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_2/U1_6/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   25.600    79.800   12214.434  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_2/U1_7/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         2   29.000    73.100   12287.533  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U4/Z                                C1C2  B->Z    R     SC8T_AN2X1_CSC28L             1   22.700    62.700   12350.233  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_0/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   26.900    77.900   12428.134  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_1/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   26.600    77.800   12505.934  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_2/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   26.500    78.100   12584.033  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_3/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   26.900    77.600   12661.633  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_4/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   26.200    82.700   12744.333  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_5/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   31.400    80.300   12824.633  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_6/CO                     C1C2  CI->CO  R     SC8T_FAX1_A_MR_CSC28L         1   26.600    76.700   12901.333  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_Recon_adder/U_add_3/U1_7/S                      C1C2  CI->S   F     SC8T_FAX1_A_MR_CSC28L         3   25.600   108.601   13009.934  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U429/Z                                            C1C2  A->Z    R     SC8T_ND2X1_MR_CSC28L          1   32.200    27.899   13037.833  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U427/Z                                            C1C2  A->Z    F     SC8T_OAI211X1_CSC28L          1   75.400    63.900   13101.733  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U41/Z                                   C1C2  A->Z    R     SC8T_INVX1_CSC28L             2   59.400    49.399   13151.133  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U40/Z                                   C1C2  A->Z    F     SC8T_ND4X1_MR_CSC28L          1   28.900    51.900   13203.033  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U36/Z                                   C1C2  B->Z    R     SC8T_NR4X1_MR_CSC28L          1   48.400    65.800   13268.833  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U35/Z                                   C1C2  B->Z    F     SC8T_ND2X1_MR_CSC28L         23   49.700   187.801   13456.634  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U11/Z                                   C1C2  A->Z    R     SC8T_INVX1_CSC28L            33  250.200   287.900   13744.534  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U7/Z                                    C1C2  B->Z    F     SC8T_ND2X1_MR_CSC28L         21  240.700   299.700   14044.234  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/U4/Z                                    C1C2  A->Z    R     SC8T_INVX1_CSC28L            11  324.600   280.601   14324.835  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/U329/Z                   C1C2  B->Z    R     SC8T_XOR2X1_MR_CSC28L         1  214.700   139.900   14464.735  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_0/CO           C1C2  A->CO   R     SC8T_HAX1_CSC28L              1   26.500    53.800   14518.535  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_1/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   21.400    50.700   14569.235  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_2/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   15.400    50.500   14619.735  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_3/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   17.800    50.400   14670.136  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_4/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.600    49.900   14720.036  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_5/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.700    54.300   14774.336  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_6/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   21.300    51.800   14826.136  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_7/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.500    51.600   14877.735  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_8/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.400    50.400   14928.136  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_9/CO           C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.400    51.199   14979.335  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_10/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.100    63.200   15042.535  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_11/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   30.700    57.300   15099.835  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_12/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   17.800    53.199   15153.034  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_13/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   19.400    49.500   15202.534  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_14/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   15.100    50.800   15253.334  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_15/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.200    51.200   15304.534  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_16/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   17.300    49.500   15354.034  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_17/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.000    48.500   15402.534  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_18/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   15.600    49.400   15451.935  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_19/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.700    49.500   15501.435  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_20/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.200    49.600   15551.034  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_21/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.600    49.700   15600.734  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_22/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   16.500    49.000   15649.734  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_23/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   15.800    50.400   15700.135  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_24/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   17.600    55.700   15755.835  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_25/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   22.300    50.900   15806.735  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_26/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   15.100    51.699   15858.435  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_27/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   19.100    49.900   15908.335  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_28/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   15.600    50.000   15958.335  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_29/CO          C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   17.300    51.699   16010.034  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/u_ha_AInc_30/S           C1C2  B->S    R     SC8T_HAX1_CSC28L              1   18.100    66.600   16076.634  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/D        C1C2  D       R     SC8T_DFFRQX1_CSC28L           1   18.800     0.000   16076.634  
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

